,year_pro,TOPEX/Poseidon
0,1992,-15.82
1,1992,-10.72
2,1993,-12.72
3,1993,-10.32
4,1993,-19.52
5,1993,-23.42
6,1993,-26.02
7,1993,-25.02
8,1993,-24.12
9,1993,-22.02
10,1993,-34.62
11,1993,-27.72
12,1993,-29.02
13,1993,-29.72
14,1993,-20.62
15,1993,-28.62
16,1993,-41.42
17,1993,-32.02
18,1993,-39.02
19,1993,-31.02
20,1993,-29.62
21,1993,-23.92
22,1993,-25.92
23,1993,-13.62
24,1993,-12.82
25,1993,-7.12
26,1993,-0.82
27,1993,-2.92
28,1993,2.88
29,1993,-1.12
30,1993,9.58
31,1993,1.88
32,1993,-0.12
33,1993,-0.82
34,1993,-4.22
35,1993,-1.72
36,1994,-14.22
37,1994,-21.42
38,1994,-31.62
39,1994,-24.92
40,1994,-24.52
41,1994,-9.52
42,1994,-19.02
43,1994,-29.42
44,1994,-26.92
45,1994,-26.42
46,1994,-23.12
47,1994,-21.52
48,1994,-20.32
49,1994,-15.72
50,1994,-26.72
51,1994,-26.32
52,1994,-12.62
53,1994,-43.72
54,1994,-46.02
55,1994,-21.52
56,1994,-19.42
57,1994,-14.72
58,1994,-8.82
59,1994,-2.72
60,1994,-7.02
61,1994,7.38
62,1994,0.68
63,1994,7.08
64,1994,4.48
65,1994,7.18
66,1994,1.58
67,1994,-0.22
68,1994,-6.42
69,1994,-10.62
70,1995,-10.22
71,1995,-23.92
72,1995,-25.52
73,1995,-21.82
74,1995,-12.12
75,1995,-2.12
76,1995,-22.82
77,1995,-27.32
78,1995,-15.72
79,1995,-10.12
80,1995,-23.92
81,1995,-10.72
82,1995,-13.12
83,1995,-18.52
84,1995,-18.62
85,1995,-26.02
86,1995,-20.22
87,1995,-24.72
88,1995,-17.22
89,1995,3.78
90,1995,-4.52
91,1995,-5.52
92,1995,-4.62
93,1995,7.38
94,1995,17.08
95,1995,10.28
96,1995,2.98
97,1995,8.18
98,1995,8.88
99,1995,15.28
100,1995,7.58
101,1996,-10.72
102,1996,-11.12
103,1996,-16.22
104,1996,-6.92
105,1996,-11.32
106,1996,-9.02
107,1996,-10.62
108,1996,-17.92
109,1996,-20.02
110,1996,-14.22
111,1996,-23.92
112,1996,-19.42
113,1996,-16.92
114,1996,-4.52
115,1996,-2.62
116,1996,-28.82
117,1996,-32.02
118,1996,-19.32
119,1996,-5.42
120,1996,3.48
121,1996,-19.22
122,1996,-16.22
123,1996,-8.02
124,1996,-9.62
125,1996,-3.62
126,1996,2.98
127,1996,15.48
128,1996,23.68
129,1996,16.48
130,1996,18.18
131,1996,3.58
132,1996,-3.42
133,1996,-3.12
134,1996,-9.82
135,1997,-9.72
136,1997,2.68
137,1997,12.18
138,1997,-2.32
139,1997,-28.92
140,1997,-21.72
141,1997,-6.22
142,1997,-11.82
143,1997,-29.72
144,1997,-28.82
145,1997,-21.82
146,1997,-15.42
147,1997,-7.32
148,1997,-8.22
149,1997,-18.92
150,1997,-26.82
151,1997,-22.72
152,1997,-24.62
153,1997,-16.62
154,1997,-20.82
155,1997,-19.82
156,1997,0.58
157,1997,7.18
158,1997,10.18
