,year_pro,TOPEX/Poseidon
0,1992,38.7
1,1992,-13.3
2,1993,-83.9
3,1993,-50.0
4,1993,-91.3
5,1993,-66.6
6,1993,-57.9
7,1993,-74.6
8,1993,-94.6
9,1993,-79.4
10,1993,-55.4
11,1993,-50.5
12,1993,-36.6
13,1993,-40.8
14,1993,-42.1
15,1993,-45.4
16,1993,-36.8
17,1993,-42.6
18,1993,-15.4
19,1993,-20.5
20,1993,9.7
21,1993,49.1
22,1993,45.1
23,1993,78.3
24,1993,51.7
25,1993,105.1
26,1993,100.7
27,1993,81.0
28,1993,-24.2
29,1993,-9.7
30,1993,19.4
31,1993,4.4
32,1993,0.5
33,1994,27.7
34,1994,-5.7
35,1994,-13.8
36,1994,-40.9
37,1994,-92.1
38,1994,-40.9
39,1994,-61.4
40,1994,-53.4
41,1994,-9.4
42,1994,-42.8
43,1994,-53.5
44,1994,-39.8
45,1994,-27.0
46,1994,-40.4
47,1994,5.5
48,1994,17.7
49,1994,22.0
50,1994,35.8
51,1994,35.2
52,1994,55.1
53,1994,59.9
54,1994,33.7
55,1994,53.5
56,1994,78.7
57,1994,62.4
58,1994,46.5
59,1994,18.8
60,1994,5.9
61,1994,6.9
62,1995,-34.5
63,1995,-73.4
64,1995,-50.3
65,1995,-46.1
66,1995,-25.6
67,1995,-87.6
68,1995,-75.0
69,1995,-68.4
70,1995,-66.4
71,1995,-66.6
72,1995,-62.4
73,1995,-15.7
74,1995,-31.2
75,1995,-13.9
76,1995,-15.3
77,1995,-2.2
78,1995,2.6
79,1995,13.1
80,1995,33.0
81,1995,65.8
82,1995,43.5
83,1995,41.4
84,1995,37.9
85,1995,63.5
86,1995,83.9
87,1995,105.5
88,1995,45.9
89,1995,72.9
90,1995,129.4
91,1996,114.5
92,1996,-15.5
93,1996,37.6
94,1996,-11.4
95,1996,-68.3
96,1996,-87.5
97,1996,-40.6
98,1996,-38.5
99,1996,-54.8
100,1996,-91.3
101,1996,-89.3
102,1996,2.8
103,1996,31.2
104,1996,-23.2
105,1996,-58.2
106,1996,-59.8
107,1996,-27.9
108,1996,-5.5
109,1996,25.8
110,1996,16.3
111,1996,46.8
112,1996,41.5
113,1996,13.9
114,1996,67.3
115,1996,108.5
116,1996,80.3
117,1996,84.8
118,1996,64.1
119,1996,99.2
120,1996,111.5
121,1996,71.8
122,1996,53.0
123,1996,103.1
124,1997,113.6
125,1997,90.2
126,1997,54.4
127,1997,-43.6
128,1997,-81.7
129,1997,-92.3
130,1997,-90.5
131,1997,-88.8
132,1997,-46.8
133,1997,-14.6
134,1997,-19.5
135,1997,-22.4
136,1997,-9.3
137,1997,-5.6
138,1997,3.9
139,1997,-16.5
140,1997,1.3
141,1997,13.4
142,1997,37.5
143,1997,65.8
144,1997,79.0
145,1997,42.9
146,1997,83.9
147,1997,106.7
148,1997,104.1
149,1997,142.9
150,1997,86.8
151,1997,53.3
152,1997,42.0
153,1997,94.8
154,1998,6.4
