STN,LOCATION
010010,Unknown
010014,Norway
010020,Norway
010030,Unknown
010060,Unknown
010070,Norway
010080,Unknown
010090,Unknown
010100,Norway
010110,Unknown
010150,Unknown
010160,Norway
010170,Unknown
010200,Unknown
010230,Norway
010240,Unknown
010250,Unknown
010260,Unknown
010270,Unknown
010280,Unknown
010300,Norway
010330,Unknown
010350,Norway
010360,Unknown
010370,Norway
010420,Norway
010430,Unknown
010440,Unknown
010450,Norway
010460,Norway
010470,Norway
010490,Unknown
010520,Norway
010550,Unknown
010580,Norway
010590,Norway
010620,Unknown
010650,Norway
010680,Unknown
010740,Norway
010760,Norway
010780,Unknown
010820,Norway
010830,Norway
010840,Norway
010860,Norway
010875,Unknown
010876,Unknown
010877,Unknown
010878,Unknown
010879,Unknown
010880,Unknown
010882,Norway
010886,Unknown
010887,Unknown
010890,Norway
010920,Norway
010980,Unknown
010990,Unknown
011020,Unknown
011025,Unknown
011050,Unknown
011070,Unknown
011080,Unknown
011120,Unknown
011140,Norway
011150,Unknown
011160,Norway
011170,Unknown
011210,Unknown
011220,Norway
011240,Norway
011320,Norway
011330,Norway
011350,Norway
011390,Unknown
011410,Norway
011440,Unknown
011460,Unknown
011470,Norway
011480,Norway
011500,Norway
011510,Norway
011520,Unknown
011560,Unknown
011580,Norway
011600,Unknown
011610,Norway
011620,Norway
011670,Unknown
011690,Norway
011800,Unknown
011830,Norway
011920,Norway
011980,Norway
011990,Norway
012030,Unknown
012050,Unknown
012090,Norway
012100,Unknown
012120,Unknown
012140,Norway
012170,Norway
012180,Norway
012200,Norway
012210,Norway
012230,Unknown
012240,Unknown
012250,Unknown
012270,Norway
012280,Unknown
012300,Norway
012320,Norway
012330,Norway
012340,Norway
012370,Unknown
012380,Norway
012390,Norway
012400,Unknown
012410,Norway
012420,Norway
012450,Norway
012500,Norway
012530,Norway
012540,Norway
012570,Norway
012590,Unknown
012620,Unknown
012650,Norway
012700,Norway
012710,Norway
012720,Norway
012730,Norway
012770,Unknown
012810,Norway
012820,Unknown
012870,Norway
012880,Norway
012900,Norway
012910,Norway
012930,Norway
013000,Unknown
013005,Unknown
013040,Unknown
013070,Unknown
013080,Unknown
013100,Unknown
013110,Norway
013140,Norway
013150,Norway
013170,Norway
013190,Unknown
013200,Norway
013210,Norway
013230,Norway
013260,Norway
013270,Norway
013290,Unknown
013320,Norway
013360,Norway
013370,Norway
013380,Unknown
013400,Norway
013420,Norway
013440,Norway
013450,Norway
013460,Norway
013470,Norway
013500,Norway
013520,Norway
013550,Norway
013570,Norway
013580,Norway
013590,Norway
013600,Norway
013610,Norway
013620,Norway
013640,Norway
013650,Norway
013660,Norway
013670,Norway
013680,Norway
013700,Norway
013710,Norway
013730,Norway
013740,Norway
013750,Norway
013755,Unknown
013760,Norway
013780,Norway
013800,Norway
013810,Norway
013820,Norway
013830,Norway
013840,Norway
013850,Norway
013860,Norway
013870,Norway
013890,Norway
013920,Norway
013930,Norway
013970,Norway
014000,Unknown
014030,Unknown
014033,Unknown
014060,Unknown
014080,Norway
014110,Unknown
014120,Norway
014130,Norway
014140,Unknown
014150,Norway
014160,Norway
014170,Norway
014180,Unknown
014190,Norway
014220,Norway
014240,Norway
014250,Norway
014260,Unknown
014270,Norway
014281,Unknown
014300,Unknown
014310,Norway
014340,Norway
014350,Norway
014360,Unknown
014400,Norway
014410,Norway
014420,Norway
014440,Norway
014470,Norway
014480,Unknown
014490,Norway
014500,Norway
014520,Norway
014530,Norway
014550,Norway
014600,Unknown
014620,Norway
014630,Norway
014640,Norway
014650,Unknown
014660,Norway
014670,Unknown
014680,Norway
014690,Norway
014700,Norway
014703,Norway
014710,Norway
014730,Norway
014760,Unknown
014770,Norway
014780,Unknown
014800,Norway
014810,Norway
014820,Unknown
014825,Norway
014830,Norway
014840,Norway
014843,Norway
014850,Norway
014860,Norway
014880,Norway
014881,Unknown
014890,Norway
014900,Norway
014920,Norway
014930,Norway
014940,Norway
014950,Unknown
020001,Sweden
020130,Sweden
020190,Sweden
020240,Sweden
020290,Sweden
020310,Sweden
020360,Sweden
020380,Sweden
020440,Sweden
020490,Sweden
020550,Finland
020640,Sweden
020720,Sweden
020810,Sweden
020950,Sweden
021010,Sweden
021020,Sweden
021030,Sweden
021100,Sweden
021190,Sweden
021205,Sweden
021210,Sweden
021240,Sweden
021350,Sweden
021410,Sweden
021470,Sweden
021490,Sweden
021510,Sweden
021540,Sweden
021610,Sweden
021710,Sweden
021730,Sweden
021740,Sweden
021760,Unknown
021810,Sweden
021840,Sweden
021860,Sweden
021880,Unknown
021910,Unknown
021970,Sweden
021990,Sweden
022070,Sweden
022090,Sweden
022100,Sweden
022190,Sweden
022210,Sweden
022260,Sweden
022300,Sweden
022310,Sweden
022360,Sweden
022420,Sweden
022430,Sweden
022450,Sweden
022455,Sweden
022470,Sweden
022540,Sweden
022590,Sweden
022600,Sweden
022610,Sweden
022630,Sweden
022650,Sweden
022670,Sweden
022690,Unknown
022710,Sweden
022820,Sweden
022840,Sweden
022860,Sweden
022870,Unknown
022930,Sweden
022970,Unknown
023070,Sweden
023080,Sweden
023170,Sweden
023190,Sweden
023210,Sweden
023250,Sweden
023270,Sweden
023290,Sweden
023310,Sweden
023380,Sweden
023430,Sweden
023470,Sweden
023550,Unknown
023660,Unknown
023680,Unknown
023820,Unknown
024030,Sweden
024070,Sweden
024080,Sweden
024110,Sweden
024180,Sweden
024230,Sweden
024260,Sweden
024283,Sweden
024284,Sweden
024285,Sweden
024290,Sweden
024310,Sweden
024320,Sweden
024350,Sweden
024400,Sweden
024410,Sweden
024430,Sweden
024460,Sweden
024490,Sweden
024500,Unknown
024520,Sweden
024530,Sweden
024560,Sweden
024580,Sweden
024600,Sweden
024620,Sweden
024640,Sweden
024680,Sweden
024690,Sweden
024760,Sweden
024810,Sweden
024820,Sweden
024840,Sweden
024853,Sweden
024860,Sweden
024870,Sweden
024880,Unknown
024890,Unknown
024900,Sweden
024930,Unknown
024960,Unknown
024980,Unknown
025000,Unknown
025010,Unknown
025050,Unknown
025103,Sweden
025130,Sweden
025140,Sweden
025160,Unknown
025180,Unknown
025200,Sweden
025260,Sweden
025350,Sweden
025360,Sweden
025390,Sweden
025400,Sweden
025420,Sweden
025440,Sweden
025450,Sweden
025460,Sweden
025480,Sweden
025490,Sweden
025500,Sweden
025520,Sweden
025540,Sweden
025560,Sweden
